type,lexeme,tag,form,segmentation,stem_surface,stem_len,root,alternation,suppletive,analytic
VERB,czytać,PRS.1SG,czytam,czyta|m,czyta,5,czyta,,,
VERB,czytać,PRS.2SG,czytasz,czyta|sz,czyta,5,czyta,,,
VERB,czytać,PRS.3SG,czyta,czyta|∅,czyta,5,czyta,,,
VERB,czytać,PRS.1PL,czytamy,czyta|my,czyta,5,czyta,,,
VERB,czytać,PRS.2PL,czytacie,czyta|cie,czyta,5,czyta,,,
VERB,czytać,PRS.3PL,czytają,czyta|ją,czyta,5,czyta,,,
VERB,czytać,PST.1SG.F,czytałam,czyta|ł|am,czyta,5,czyta,,,
VERB,czytać,PST.2SG.F,czytałaś,czyta|ł|aś,czyta,5,czyta,,,
VERB,czytać,PST.3SG.F,czytała,czyta|ł|a,czyta,5,czyta,,,
VERB,czytać,PST.1SG.M,czytałem,czyta|ł|em,czyta,5,czyta,,,
VERB,czytać,PST.2SG.M,czytałeś,czyta|ł|eś,czyta,5,czyta,,,
VERB,czytać,PST.3SG.M,czytał,czyta|ł|∅,czyta,5,czyta,,,
VERB,czytać,PST.1PL,czytaliśmy,czyta|l|iśmy,czyta,5,czyta,,,
VERB,czytać,PST.3PL,czytali,czyta|l|i,czyta,5,czyta,,,
VERB,czytać,COND.1SG.F,czytałabym,czyta|ł|a|by|m,czyta,5,czyta,,,
VERB,czytać,FUT.1SG,będę czytać,będę # czyta|ć,będę # czyta,12,czyta,,,yes
VERB,czytać,INF,czytać,czyta|ć,czyta,5,czyta,,,
VERB,pisać,PRS.1SG,piszę,pisz|ę,pisz,4,pis,s/sz,,
VERB,pisać,PRS.2SG,piszesz,pisz|esz,pisz,4,pis,s/sz,,
VERB,pisać,PRS.3SG,pisze,pisz|e,pisz,4,pis,s/sz,,
VERB,pisać,PRS.1PL,piszemy,pisz|emy,pisz,4,pis,s/sz,,
VERB,pisać,PRS.2PL,piszecie,pisz|ecie,pisz,4,pis,s/sz,,
VERB,pisać,PRS.3PL,piszą,pisz|ą,pisz,4,pis,s/sz,,
VERB,pisać,PST.1SG.F,pisałam,pisa|ł|am,pisa,4,pis,,,
VERB,pisać,PST.1SG.M,pisałem,pisa|ł|em,pisa,4,pis,,,
VERB,pisać,PST.3SG.F,pisała,pisa|ł|a,pisa,4,pis,,,
VERB,pisać,PST.3SG.M,pisał,pisa|ł|∅,pisa,4,pis,,,
VERB,pisać,COND.1SG.F,pisałabym,pisa|ł|a|by|m,pisa,4,pis,,,
VERB,pisać,INF,pisać,pisa|ć,pisa,4,pis,,,
VERB,być,PRS.1SG,jestem,jest|em,jest,4,,,yes,
VERB,być,PRS.2SG,jesteś,jest|eś,jest,4,,,yes,
VERB,być,PRS.3SG,jest,jest|∅,jest,4,,,yes,
VERB,być,PRS.1PL,jesteśmy,jest|eśmy,jest,4,,,yes,
VERB,być,PRS.2PL,jesteście,jest|eście,jest,4,,,yes,
VERB,być,PRS.3PL,są,s|ą,s,1,,,yes,
VERB,być,PST.1SG.F,byłam,był|am,był,3,,,yes,
VERB,być,PST.1SG.M,byłem,był|em,był,3,,,yes,
VERB,być,PST.3SG.F,była,był|a,był,3,,,yes,
VERB,być,PST.3SG.M,był,był|∅,był,3,,,yes,
VERB,być,PST.3PL,byli,byl|i,byl,3,,,yes,
VERB,być,FUT.1SG,będę,będ|ę,będ,3,,,yes,
VERB,być,FUT.3SG,będzie,będ|zie,będ,3,,,yes,
VERB,być,INF,być,by|ć,by,2,,,yes,
VERB,mówić,PRS.1SG,mówię,mów|ię,mów,3,mów,,,
VERB,mówić,PRS.2SG,mówisz,mów|isz,mów,3,mów,,,
VERB,mówić,PRS.3SG,mówi,mów|i,mów,3,mów,,,
VERB,mówić,PRS.1PL,mówimy,mów|imy,mów,3,mów,,,
VERB,mówić,PRS.3PL,mówią,mów|ią,mów,3,mów,,,
VERB,mówić,PST.1SG.F,mówiłam,mówi|ł|am,mówi,4,mów,,,
VERB,mówić,PST.1SG.M,mówiłem,mówi|ł|em,mówi,4,mów,,,
VERB,mówić,PST.3SG.F,mówiła,mówi|ł|a,mówi,4,mów,,,
VERB,mówić,PST.3SG.M,mówił,mówi|ł|∅,mówi,4,mów,,,
VERB,mówić,INF,mówić,mówi|ć,mówi,4,mów,,,
VERB,rozumieć,PRS.1SG,rozumiem,rozumie|m,rozumie,7,rozumie,,,
VERB,rozumieć,PRS.2SG,rozumiesz,rozumie|sz,rozumie,7,rozumie,,,
VERB,rozumieć,PRS.3SG,rozumie,rozumie|∅,rozumie,7,rozumie,,,
VERB,rozumieć,PRS.1PL,rozumiemy,rozumie|my,rozumie,7,rozumie,,,
VERB,rozumieć,PRS.3PL,rozumieją,rozumie|ją,rozumie,7,rozumie,,,
VERB,rozumieć,PST.1SG.F,rozumiałam,rozumia|ł|am,rozumia,7,rozumie,ie→ia,,
VERB,rozumieć,PST.1SG.M,rozumiałem,rozumia|ł|em,rozumia,7,rozumie,ie→ia,,
VERB,rozumieć,PST.3SG.F,rozumiała,rozumia|ł|a,rozumia,7,rozumie,ie→ia,,
