type,lexeme,tag,form,segmentation,stem_surface,stem_len,root,alternation,suppletive,analytic,HerBERT_BPE_PL__n,HerBERT_BPE_PL__SI,HerBERT_BPE_PL__ISS,mBERT_WordPiece__n,mBERT_WordPiece__SI,mBERT_WordPiece__ISS,XLM-R_Unigram__n,XLM-R_Unigram__SI,XLM-R_Unigram__ISS,GPT2_BPE_EN__n,GPT2_BPE_EN__SI,GPT2_BPE_EN__ISS
VERB,czytać,PRS.1SG,czytam,czyta|m,czyta,5,czyta,,,,1,1,0,2,0,0,2,1,1,4,0,0
VERB,czytać,PRS.2SG,czytasz,czyta|sz,czyta,5,czyta,,,,2,1,1,3,0,0,2,1,1,5,0,0
VERB,czytać,PRS.3SG,czyta,czyta|∅,czyta,5,czyta,,,,1,1,,2,0,,1,1,,3,0,
VERB,czytać,PRS.1PL,czytamy,czyta|my,czyta,5,czyta,,,,1,1,0,3,0,0,2,1,1,4,0,0
VERB,czytać,PRS.2PL,czytacie,czyta|cie,czyta,5,czyta,,,,2,1,1,3,0,1,2,1,1,5,0,0
VERB,czytać,PRS.3PL,czytają,czyta|ją,czyta,5,czyta,,,,1,1,0,3,0,1,2,1,0,6,0,0
VERB,czytać,PST.1SG.F,czytałam,czyta|ł|am,czyta,5,czyta,,,,1,1,0,3,0,0,2,1,1,5,0,1
VERB,czytać,PST.2SG.F,czytałaś,czyta|ł|aś,czyta,5,czyta,,,,4,0,0,4,0,0,2,1,1,7,0,1
VERB,czytać,PST.3SG.F,czytała,czyta|ł|a,czyta,5,czyta,,,,2,0,0,3,0,0,2,1,1,5,0,1
VERB,czytać,PST.1SG.M,czytałem,czyta|ł|em,czyta,5,czyta,,,,1,1,0,3,0,0,2,1,1,5,0,1
VERB,czytać,PST.2SG.M,czytałeś,czyta|ł|eś,czyta,5,czyta,,,,3,0,0,4,0,0,2,1,1,7,0,1
VERB,czytać,PST.3SG.M,czytał,czyta|ł|∅,czyta,5,czyta,,,,1,1,,2,0,,2,1,,4,0,
VERB,czytać,PST.1PL,czytaliśmy,czyta|l|iśmy,czyta,5,czyta,,,,2,1,1,4,0,0,2,1,1,7,0,0
VERB,czytać,PST.3PL,czytali,czyta|l|i,czyta,5,czyta,,,,1,1,0,2,0,0,2,1,1,4,0,0
VERB,czytać,COND.1SG.F,czytałabym,czyta|ł|a|by|m,czyta,5,czyta,,,,3,0,0,4,0,0,2,1,1,6,0,1
VERB,czytać,FUT.1SG,będę czytać,będę # czyta|ć,będę # czyta,12,czyta,,,yes,2,,,6,,,3,,,10,,
VERB,czytać,INF,czytać,czyta|ć,czyta,5,czyta,,,,1,1,0,3,0,1,2,0,0,4,0,1
VERB,pisać,PRS.1SG,piszę,pisz|ę,pisz,4,pis,s/sz,,,1,1,0,2,0,0,2,0,0,5,0,1
VERB,pisać,PRS.2SG,piszesz,pisz|esz,pisz,4,pis,s/sz,,,2,0,0,3,0,0,2,1,0,4,0,0
VERB,pisać,PRS.3SG,pisze,pisz|e,pisz,4,pis,s/sz,,,1,1,0,2,0,0,1,1,0,3,0,0
VERB,pisać,PRS.1PL,piszemy,pisz|emy,pisz,4,pis,s/sz,,,1,1,0,3,0,0,2,1,0,4,0,1
VERB,pisać,PRS.2PL,piszecie,pisz|ecie,pisz,4,pis,s/sz,,,3,0,0,3,0,0,2,1,0,5,0,1
VERB,pisać,PRS.3PL,piszą,pisz|ą,pisz,4,pis,s/sz,,,1,1,0,2,0,0,2,0,0,5,0,1
VERB,pisać,PST.1SG.F,pisałam,pisa|ł|am,pisa,4,pis,,,,2,0,0,3,0,0,2,1,0,4,0,1
VERB,pisać,PST.1SG.M,pisałem,pisa|ł|em,pisa,4,pis,,,,1,1,0,3,0,0,2,1,0,4,0,1
VERB,pisać,PST.3SG.F,pisała,pisa|ł|a,pisa,4,pis,,,,1,1,0,2,0,0,2,1,0,4,0,1
VERB,pisać,PST.3SG.M,pisał,pisa|ł|∅,pisa,4,pis,,,,1,1,,2,0,,1,1,,3,0,
VERB,pisać,COND.1SG.F,pisałabym,pisa|ł|a|by|m,pisa,4,pis,,,,2,0,0,4,0,0,2,1,1,5,0,1
VERB,pisać,INF,pisać,pisa|ć,pisa,4,pis,,,,1,1,0,2,0,0,2,0,0,3,0,1
VERB,być,PRS.1SG,jestem,jest|em,jest,4,,,yes,,1,1,0,2,1,1,1,1,0,3,0,1
VERB,być,PRS.2SG,jesteś,jest|eś,jest,4,,,yes,,1,1,0,3,1,1,1,1,0,4,0,0
VERB,być,PRS.3SG,jest,jest|∅,jest,4,,,yes,,1,1,,1,1,,1,1,,2,0,
VERB,być,PRS.1PL,jesteśmy,jest|eśmy,jest,4,,,yes,,1,1,0,4,1,1,1,1,0,5,0,0
VERB,być,PRS.2PL,jesteście,jest|eście,jest,4,,,yes,,1,1,0,3,1,1,2,1,0,6,0,0
VERB,być,PRS.3PL,są,s|ą,s,1,,,yes,,1,1,0,1,1,0,1,1,0,3,1,1
VERB,być,PST.1SG.F,byłam,był|am,był,3,,,yes,,1,1,0,2,1,0,2,1,0,3,0,1
VERB,być,PST.1SG.M,byłem,był|em,był,3,,,yes,,1,1,0,2,1,1,2,1,1,3,0,1
VERB,być,PST.3SG.F,była,był|a,był,3,,,yes,,1,1,0,1,1,0,1,1,0,3,0,1
VERB,być,PST.3SG.M,był,był|∅,był,3,,,yes,,1,1,,1,1,,1,1,,2,0,
VERB,być,PST.3PL,byli,byl|i,byl,3,,,yes,,1,1,0,1,1,0,1,1,0,2,0,0
VERB,być,FUT.1SG,będę,będ|ę,będ,3,,,yes,,1,1,0,3,0,0,1,1,0,6,0,1
VERB,być,FUT.3SG,będzie,będ|zie,będ,3,,,yes,,1,1,0,1,1,0,1,1,0,5,0,1
VERB,być,INF,być,by|ć,by,2,,,yes,,1,1,0,1,1,0,1,1,0,2,1,1
VERB,mówić,PRS.1SG,mówię,mów|ię,mów,3,mów,,,,1,1,0,3,0,0,2,1,0,5,0,0
VERB,mówić,PRS.2SG,mówisz,mów|isz,mów,3,mów,,,,1,1,0,3,0,0,2,1,0,5,0,1
VERB,mówić,PRS.3SG,mówi,mów|i,mów,3,mów,,,,1,1,0,2,0,0,1,1,0,3,0,0
VERB,mówić,PRS.1PL,mówimy,mów|imy,mów,3,mów,,,,1,1,0,3,0,0,2,1,0,5,0,1
VERB,mówić,PRS.3PL,mówią,mów|ią,mów,3,mów,,,,1,1,0,3,0,0,2,1,0,5,0,0
VERB,mówić,PST.1SG.F,mówiłam,mówi|ł|am,mówi,4,mów,,,,1,1,0,3,0,0,2,1,0,5,0,1
VERB,mówić,PST.1SG.M,mówiłem,mówi|ł|em,mówi,4,mów,,,,1,1,0,3,0,0,2,1,0,5,0,1
VERB,mówić,PST.3SG.F,mówiła,mówi|ł|a,mówi,4,mów,,,,1,1,0,3,0,0,2,1,0,5,0,1
VERB,mówić,PST.3SG.M,mówił,mówi|ł|∅,mówi,4,mów,,,,1,1,,2,0,,1,1,,4,0,
VERB,mówić,INF,mówić,mówi|ć,mówi,4,mów,,,,1,1,0,2,0,0,2,0,0,4,0,1
VERB,rozumieć,PRS.1SG,rozumiem,rozumie|m,rozumie,7,rozumie,,,,1,1,0,4,0,1,2,1,1,4,0,0
VERB,rozumieć,PRS.2SG,rozumiesz,rozumie|sz,rozumie,7,rozumie,,,,1,1,0,4,0,0,2,1,1,5,0,0
VERB,rozumieć,PRS.3SG,rozumie,rozumie|∅,rozumie,7,rozumie,,,,1,1,,3,0,,1,1,,4,0,
VERB,rozumieć,PRS.1PL,rozumiemy,rozumie|my,rozumie,7,rozumie,,,,1,1,0,4,0,1,2,1,1,4,0,0
VERB,rozumieć,PRS.3PL,rozumieją,rozumie|ją,rozumie,7,rozumie,,,,1,1,0,4,0,1,2,1,1,7,0,1
VERB,rozumieć,PST.1SG.F,rozumiałam,rozumia|ł|am,rozumia,7,rozumie,ie→ia,,,2,0,0,5,0,1,3,0,0,6,0,1
VERB,rozumieć,PST.1SG.M,rozumiałem,rozumia|ł|em,rozumia,7,rozumie,ie→ia,,,2,0,0,4,0,1,3,0,0,6,0,1
VERB,rozumieć,PST.3SG.F,rozumiała,rozumia|ł|a,rozumia,7,rozumie,ie→ia,,,1,1,0,4,0,1,3,0,0,6,0,1
VERB,rozumieć,INF,rozumieć,rozumie|ć,rozumie,7,rozumie,,,,1,1,0,4,0,1,2,1,1,5,0,1
VERB,iść,PRS.1SG,idę,id|ę,id,2,,,yes,,1,1,0,2,1,1,2,0,0,3,1,1
VERB,iść,PRS.2SG,idziesz,idzi|esz,idzi,4,,d→dzi,yes,,2,0,0,3,0,0,2,1,0,4,0,0
VERB,iść,PRS.3SG,idzie,idzi|e,idzi,4,,d→dzi,yes,,1,1,0,2,0,0,1,1,0,2,0,0
VERB,iść,PRS.1PL,idziemy,idzi|emy,idzi,4,,d→dzi,yes,,1,1,0,3,0,0,2,1,0,3,0,1
VERB,iść,PRS.3PL,idą,id|ą,id,2,,,yes,,1,1,0,2,1,1,2,0,0,3,1,1
VERB,iść,PST.1SG.F,szłam,szł|am,szł,3,,,yes,,1,1,0,3,0,0,2,0,0,4,0,1
VERB,iść,PST.1SG.M,szedłem,szedł|em,szedł,5,,,yes,,1,1,0,3,0,0,3,0,1,4,0,1
VERB,iść,PST.3SG.F,szła,szł|a,szł,3,,,yes,,1,1,0,2,0,0,2,0,0,4,0,1
VERB,iść,PST.3SG.M,szedł,szedł|∅,szedł,5,,,yes,,1,1,,3,0,,2,0,,3,0,
